realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
0,6.793853059801634,1.578482381776535,1.1977173012068851,-0.24854816317899667,0.9686195386117022,3.5138466433636237,86.48615335663631,1,1,1,1
1,6.765018485063762,1.4637301888846277,1.1598430160407345,-0.24838521440252292,0.9686613367251802,3.274007952392701,86.72599204760718,1,1,1,1
2,6.70622812184668,1.5676528059621901,1.1970093907810175,-0.24608549427490872,0.969248125872562,3.4250991557475716,86.57490084425251,1,1,1,1
3,6.521403095004407,1.4542184935943485,1.163424118107096,-0.2502847481778063,0.9681722702234207,3.4267729143023637,86.57322708569768,1,1,1,1
4,6.08764055899943,1.493467703924987,1.19217889200835,-0.24310226719046202,0.9700006637558848,3.462478857663457,86.53752114233635,1,1,1,1
5,6.587877241339125,1.626318688414257,1.2213891894792681,-0.24871022956529037,0.9685779378602325,3.5995537597274834,86.40044624027259,1,1,1,1
6,6.90461678109294,1.4649685189550288,1.1565226068288015,-0.24838400458194754,0.9686616469479087,3.3486893768629744,86.65131062313687,1,1,1,1
7,6.85161736350981,1.5223071591022779,1.177106172943844,-0.24651633347654278,0.9691386367952122,3.3168897535789235,86.683110246421,1,1,1,1
8,6.995124592496034,1.4983543812837106,1.1651122877337292,-0.25104549012502025,0.9679752899159607,3.419759659718077,86.58024034028169,1,1,1,1
9,6.836589011766101,1.538688266472267,1.183030970564737,-0.24606025469357842,0.9692545336804627,3.3316999393190527,86.66830006068108,1,1,1,1
10,6.851354919376631,1.5750752293789685,1.1946809486266297,-0.24779292874004516,0.9688130183200631,3.265747784064327,86.73425221593541,1,1,1,1
11,6.909644914788697,1.5716180990575122,1.1916594426722242,-0.2477464278236395,0.9688249106523976,3.4262010264794855,86.57379897352057,1,1,1,1
12,6.695729846784742,1.592242478267557,1.2057357854879667,-0.2438041818467343,0.9698244794363795,3.3111386793792756,86.68886132062087,1,1,1,1
13,6.59444148253641,1.5272564637892585,1.1868334471065733,-0.24517796858396226,0.969478088314038,3.429463441816578,86.57053655818348,1,1,1,1
14,6.941336089530789,1.4279983099423768,1.1433309686609388,-0.25032192202481507,0.9681626595535495,3.342733510209223,86.65726648979084,1,1,1,1
15,6.801106522960126,1.4875015561608842,1.1668933124722862,-0.25035680806144295,0.968153638973322,3.4640144243033006,86.53598557569698,1,1,1,1
16,6.474033636098094,1.4900834367199594,1.1776337124549803,-0.24669840796175496,0.9690923049478493,3.54559305403998,86.45440694596,1,1,1,1
17,6.517932330229987,1.5252579609300099,1.188672541830878,-0.24977986643056702,0.9683026481043662,3.490154018278089,86.50984598172207,1,1,1,1
18,6.754818143034139,1.5070977132171337,1.1748762924117226,-0.2485208159876636,0.9686265555005322,3.3199515231617442,86.68004847683842,1,1,1,1
19,6.595644481952332,1.533224087048322,1.1888703310939845,-0.24593352386182568,0.9692866974434886,3.4094536655300645,86.5905463344699,1,1,1,1
20,6.624927669804849,1.4395221270097167,1.155328173493546,-0.2498767439365503,0.9682776527627125,3.340183846312345,86.6598161536875,1,1,1,1
21,6.422140047568358,1.5216921826095584,1.1906653031896235,-0.24657528463334344,0.9691236396910282,3.3151079854786953,86.68489201452124,1,1,1,1
22,6.475507130014112,1.5920512604213137,1.2137552840348662,-0.24403510030091846,0.9697663996144231,3.456610112571644,86.5433898874285,1,1,1,1
23,6.700875005683454,1.4846436012448634,1.1688043262660262,-0.24905511743859507,0.9684893125262909,3.2687287087290104,86.73127129127073,1,1,1,1
24,6.410975524123245,1.5454343197771023,1.1995750821758975,-0.24588866906350698,0.9692980771806872,3.6251881697327857,86.3748118302672,1,1,1,1
25,6.643905948918567,1.561972539581464,1.1971881062586491,-0.24622036637797007,0.969213872775611,3.393144830442707,86.60685516955726,1,1,1,1
26,6.657138886837185,1.522511646471027,1.1831639040641821,-0.24869691295829838,0.9685813571843165,3.550723882130524,86.44927611786942,1,1,1,1
27,6.661556894575335,1.4721630130619865,1.1656440790407927,-0.24742791656552374,0.9689063040893294,3.4120608294332695,86.58793917056663,1,1,1,1
28,6.816723244237699,1.4805225339801305,1.1641011328493238,-0.2488573908240834,0.9685401380594556,3.596664129515467,86.40333587048421,1,1,1,1
29,6.661178068751198,1.459671594549601,1.1613306748539993,-0.24693386471327294,0.9690323350940189,3.055146324412818,86.94485367558691,1,1,1,1
