realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
0,40.14014857560305,6.990464212277884,1.2990970049269122,-0.20641015462445647,0.97846555793646,49.713641653209784,40.286358346790195,0,0,0,0
1,38.1321975489908,6.734543489425575,1.3016766333210716,-0.19635996915377435,0.9805318773573496,60.395394378890764,29.60460562110924,0,0,0,0
2,37.77212161645482,7.4782354488139715,1.3417384894110234,-0.1999157223156565,0.9798130964479957,50.92095405330599,39.07904594669401,0,0,0,0
3,37.14339818813497,6.670284083553751,1.3062289736062374,-0.2039613145001109,0.9789789487968505,50.1357277225558,39.86427227744421,0,0,0,0
4,36.72102682841344,6.960968320535974,1.324708908141507,-0.2018145135121776,0.9794237602467294,50.94486127214259,39.05513872785741,0,0,0,0
5,36.99270674285411,7.103866236171044,1.3296906615484887,-0.20351000039078943,0.9790728674317049,48.55050926908319,41.44949073091679,0,0,0,0
6,37.107042377656214,7.051490647103486,1.3260390414169194,-0.20699752397284576,0.9783414664978232,44.828505020285334,45.17149497971465,0,0,1,1
7,37.714651474155865,7.020107726604654,1.319354120215138,-0.20078252619824527,0.9796358390613579,52.07743572237066,37.922564277629334,0,0,0,0
8,37.58353164268086,6.976950557538799,1.3182611822796342,-0.20467346965299182,0.9788303074691782,48.81319260650765,41.18680739349235,0,0,0,0
9,34.57972012842555,7.0875067364183035,1.351033932679308,-0.20473977015237524,0.9788164416875886,48.12275568911635,41.87724431088365,0,0,0,0
10,37.08134606417494,7.072278772103249,1.3273176711020862,-0.20098779578711168,0.9795937453580633,51.13727645037228,38.862723549627695,0,0,0,0
11,39.470738139035106,7.034544171888339,1.3061874369165436,-0.20099654078188317,0.9795919510662165,54.44564540150993,35.55435459849008,0,0,0,0
12,36.591285302942815,7.121037261493424,1.3340813779749232,-0.20207665402469044,0.979369708485098,51.58662332428312,38.41337667571686,0,0,0,0
13,37.82644847650661,7.11079535166617,1.3229769450418387,-0.19612828401185697,0.9805782458379159,54.959962985367014,35.04003701463297,0,0,0,0
14,36.11286929282425,6.705596219546954,1.3166258592106073,-0.204066274711878,0.9789570754252797,49.82511443804141,40.17488556195859,0,0,0,0
15,35.513546862039306,6.9340331676012905,1.3339936749444175,-0.19673133321829536,0.9804574353484969,58.69699136569103,31.303008634308977,0,0,0,0
16,38.21766575714337,7.313959860980063,1.329806917442938,-0.20380923419304103,0.9790106210137082,51.06327910698362,38.936720893016364,0,0,0,0
17,38.13253211271989,6.907044830412161,1.3103073077939225,-0.20734801143666043,0.9782672447512809,46.981092017280524,43.01890798271946,0,0,0,0
18,37.71941054589188,6.843948229353435,1.3104397556062748,-0.20126499686494842,0.9795368298522278,51.88768553268261,38.112314467317375,0,0,0,0
19,38.41100978978167,7.173007281645416,1.3212632604671333,-0.20618537207225834,0.9785129495021638,45.94734534133628,44.05265465866372,0,0,0,0
20,37.840913781184064,7.071332614224921,1.3208825678571692,-0.20928799568761428,0.9778540457865179,42.26954300802322,47.73045699197678,0,0,1,1
21,38.30021112823156,6.892694656195254,1.3082667494557727,-0.1996163751406574,0.9798741259854269,50.21592724325092,39.784072756749076,0,0,0,0
22,35.97101592429793,7.141369448003921,1.3407185047185768,-0.1994765093949252,0.979902608527815,56.41178036321561,33.58821963678439,0,0,0,0
23,35.06752105901439,7.228171875722374,1.3538116269670204,-0.19735101455645107,0.9803328909373282,55.47198921422949,34.528010785770505,0,0,0,0
24,37.89608562374465,7.0093563597867155,1.3173270528833332,-0.2044073386930764,0.9788859177087051,48.776422650199834,41.22357734980019,0,0,0,0
25,37.932260726883406,6.975218963356556,1.315323445601531,-0.2017058981303944,0.9794461346390679,50.38311972678075,39.61688027321925,0,0,0,0
26,35.015174649728095,7.384271410967407,1.3626043308004807,-0.1989055100986918,0.9800186722978187,53.970057227216245,36.02994277278375,0,0,0,0
27,37.36031270590327,6.81114846808353,1.311681167478238,-0.20300026091577883,0.9791786834220432,49.59301980185826,40.40698019814174,0,0,0,0
28,38.710802357146974,7.281277194463966,1.3241360677106837,-0.20399139415880488,0.9789726814927712,49.87867210758017,40.12132789241983,0,0,0,0
29,36.22754110487099,7.1765838337575225,1.340209186059988,-0.20201251165990342,0.9793829410056402,51.26506263539173,38.73493736460826,0,0,0,0
30,38.456043500735085,6.996613372741507,1.3121928383366426,-0.2045480585367307,0.9788565225551975,50.70382448295384,39.29617551704617,0,0,0,0
31,38.512680300784105,7.031583237341019,1.3134716036368748,-0.1969911530209498,0.9804052660157823,56.42857103499432,33.571428965005666,0,0,0,0
32,36.077263983768916,7.142733198772536,1.3398189148352748,-0.2009227745446261,0.9796070838194717,50.71321279746813,39.286787202531855,0,0,0,0
33,36.891859884043335,7.086611076727777,1.329682841483271,-0.2010864547351,0.9795734978663257,52.46726717848489,37.5327328215151,0,0,0,0
