rep,Lambda1,Lambda2,r_gain_algebraic,delta_phi_weak_deg,delta_phi_strong_deg
0,3.13719820516,1.04932799404,1.04613678788,4.55970979703,85.440290203
1,3.01791208377,1.04246349308,1.04206793554,4.72215686639,85.2778431336
2,3.24806530084,0.982258407543,0.984217106571,4.19656350991,85.8034364901
3,3.09943554247,1.0517925428,1.04930948359,4.76984255102,85.230157449
4,3.14481121274,1.01182520076,1.01102646353,4.55971321537,85.4402867846
5,3.04102785758,1.02717802863,1.0266269864,4.43378824007,85.5662117599
6,3.1158063924,1.01741872233,1.01646421136,4.69014380051,85.3098561995
7,3.11472288683,1.02697461285,1.02550710053,4.67644296385,85.3235570361
8,3.32476091304,0.983143366221,0.985498941004,4.57570971483,85.4242902852
9,3.3195805475,0.98535398113,0.987372341946,4.28511425842,85.7148857416
10,3.03760035081,1.03206792866,1.0314683768,5.05551553702,84.944484463
11,3.10646073191,1.02067579866,1.01962895066,4.75035463873,85.2496453613
12,3.11343239978,0.993984059281,0.994306993709,4.66281324646,85.3371867535
13,3.27339522104,1.01697243234,1.01493052,4.62122829744,85.3787717026
14,2.96235472384,0.985011267574,0.984724619015,4.30549192479,85.6945080752
15,3.0443551387,1.01923813568,1.01881907095,4.77717497691,85.2228250231
16,3.05954270697,1.01658630668,1.01610574129,4.42584144966,85.5741585503
17,3.15867291878,1.04656906045,1.04312593829,4.64919232097,85.350807679
18,3.21837658719,1.06587521348,1.05933814468,4.47028485996,85.52971514
19,3.25117281528,0.957978029456,0.96267960151,4.55309206193,85.4469079381
20,3.19583822174,0.954103563513,0.958215141916,4.37688376287,85.6231162371
21,3.36054574488,0.981108615212,0.983995078292,4.10728451545,85.8927154845
22,3.01064787551,1.0633363756,1.06293850975,4.97310034206,85.0268996579
23,3.15397089933,1.00820010187,1.00761382898,4.59872644055,85.4012735595
24,3.053211338,1.02893902031,1.02818343345,5.05401241823,84.9459875818
25,3.33988786276,0.998570726148,0.998778340328,4.21097518209,85.7890248179
26,3.14465279991,0.979358042689,0.98075208699,4.35763200496,85.642367995
27,2.97919226833,1.02347547447,1.02371894093,4.84263529665,85.1573647034
28,3.05678019672,0.948901603575,0.950342893133,4.72707094086,85.2729290591
29,3.26691379176,1.03593337834,1.03169450207,4.60143132587,85.3985686741
30,2.94806851835,1.03591561706,1.03686052411,4.61170023282,85.3882997672
31,3.28963419379,0.981864640442,0.984159721295,4.9576225755,85.0423774245
32,3.24119961278,0.989544329316,0.99066977964,4.60908934958,85.3909106504
33,3.25889960135,0.951890345643,0.957423657249,4.55175681212,85.4482431879
34,3.09275494795,1.00358075969,1.00342204347,4.80217372965,85.1978262703
35,3.05695594627,0.96047173756,0.961580440672,4.46590112645,85.5340988735
36,3.40160973685,1.00694616312,1.00578454101,4.25442560154,85.7455743985
37,3.28702245887,0.936383948277,0.944410805823,4.2868997857,85.7131002143
38,3.15096765642,0.981651381379,0.982940437551,4.5535042713,85.4464957287
39,3.25329434661,1.01540613726,1.01367368371,4.37962611021,85.6203738898
40,3.21498085212,1.0020886358,1.00188591602,4.48791149034,85.5120885097
41,3.07073395329,1.05582028982,1.05387438248,4.95410144437,85.0458985556
42,3.08271186154,0.98044103524,0.981219447286,4.28814467341,85.7118553266
43,3.27573522188,1.01118375701,1.00982846055,4.73452137811,85.2654786219
44,3.08252077967,0.991745949365,0.992073144189,4.71957497611,85.2804250239
